t,act_force_HAA_FR,act_force_HFE_FR,act_force_KFE_FR,act_force_HAA_FL,act_force_HFE_FL,act_force_KFE_FL,act_force_trunk,act_force_HAA_HR,act_force_HFE_HR,act_force_KFE_HR,act_force_HAA_HL,act_force_HFE_HL,act_force_KFE_HL,contact_foot_FL,contact_foot_FR,contact_foot_HL,contact_foot_HR,body_lin_velx,body_lin_vely,body_lin_velz,vel_commandx,vel_commandy,vel_commandang,joint_pos_HAA_FR,joint_pos_HFE_FR,joint_pos_KFE_FR,joint_pos_HAA_FL,joint_pos_HFE_FL,joint_pos_KFE_FL,joint_pos_trunk,joint_pos_HAA_HR,joint_pos_HFE_HR,joint_pos_KFE_HR,joint_pos_HAA_HL,joint_pos_HFE_HL,joint_pos_KFE_HL,joint_vel_HAA_FR,joint_vel_HFE_FR,joint_vel_KFE_FR,joint_vel_HAA_FL,joint_vel_HFE_FL,joint_vel_KFE_FL,joint_vel_trunk,joint_vel_HAA_HR,joint_vel_HFE_HR,joint_vel_KFE_HR,joint_vel_HAA_HL,joint_vel_HFE_HL,joint_vel_KFE_HL
28.304999999998653,-1.0955267615627986,-13.032548460059047,-6.8215571087322076,-5.436521453941252,-19.20667616773942,-3.7182421743320084,-2.387658348965994,-0.16090250913830556,-5.82659581292188,17.544454746288046,-1.3863192938166282,-1.4275447651943924,-19.397593434417423,0,0,0,1,3.063476085662842,0.07149609923362732,0.27047544717788696,3.0,0.0,0.0,-0.22571763102755882,0.7603910572867376,-0.6509892100938011,0.27265534545346465,1.0959911711884818,-0.9868613458859775,0.7680008558681406,0.01606475247413192,1.3141524677133605,-1.7187743753146631,0.22255621823283855,1.602309107311609,-1.359725431888248,-0.20419626291212478,6.4449279172175755,-13.581588809047261,0.9342626311845059,9.51566053569803,-13.876789774043214,-6.410332659551821,0.23921443058935354,9.542923012497548,4.267388339855658,-3.5493711128401086,4.8900746426577735,7.7459639589552145
28.309999999998652,-0.9989789660144722,-12.275751448456267,-4.247255799762808,-5.150930963036234,-18.354030177622583,-1.579533794067764,-1.7426728850678739,-0.048514995939381134,-4.7939494580423485,17.309884196709753,-0.6427579036780031,-1.8039801931288757,-17.641274650180208,0,0,0,0,3.063476085662842,0.07149609923362732,0.27047544717788696,3.0,0.0,0.0,-0.22690572590137664,0.7889394309875196,-0.7209597487457162,0.27637989785690936,1.1387645243209035,-1.0571961410115085,0.7363169716728424,0.01692602623408435,1.3566305845842206,-1.6981406171280993,0.20410373913679422,1.6262069536957267,-1.3274063515737227,-0.23761897476356525,5.7096747401564105,-13.99410773038302,0.7449104806889376,8.55467062648434,-14.066959025106197,-6.336776839059652,0.17225475199048595,8.49562337417203,4.126751637312757,-3.6904958192088664,4.779569276823543,6.46381606290504
28.31499999999865,-0.7561580505351119,-11.644924506443015,-1.9921041267892967,-4.864952795889779,-17.479470966963966,0.2862935505971791,-0.9354989134451372,-0.04147790082009062,-5.195791948666496,14.272621375429472,-0.02457631598699006,-2.179516234755262,-15.966214420637957,0,0,0,0,3.063476085662842,0.07149609923362732,0.27047544717788696,3.0,0.0,0.0,-0.22859527617198014,0.8143241899011656,-0.7921206125898093,0.2792124691374539,1.17696401147928,-1.1277837772347492,0.7045976124969787,0.017720078960817717,1.3975555004406164,-1.6715741086671445,0.1852821550753619,1.6495826586257818,-1.3009297118177983,-0.3379100541207017,5.076951782729209,-14.232172768818613,0.5665142561089036,7.639897431675323,-14.11752724464816,-6.343871835172725,0.1588105453466736,8.184983171279157,5.313301692190962,-3.7643168122864683,4.675140986011047,5.29532795118486
28.31999999999865,-0.5364247261825011,-10.963523678287007,-0.020003149427370914,-4.570518073498107,-16.55192044555681,1.9062149287798285,-0.14900326381717122,-0.027526380386175997,-5.516738954325085,11.518050907834178,0.5014352911594262,-2.503871579326953,-14.383814987214986,0,0,0,0,3.063476085662842,0.07149609923362732,0.27047544717788696,3.0,0.0,0.0,-0.23070246071926018,0.8366124316359949,-0.8637357808603955,0.28118563099586835,1.210733998166206,-1.1980307792758762,0.6728935199793942,0.018434595596722263,1.4368282377305386,-1.6400889937213157,0.16633004864778694,1.6723465111354143,-1.279733814243806,-0.4214369094560066,4.45764834696584,-14.323033654117246,0.3946323716828868,6.753997337385171,-14.049400408225397,-6.340818503516902,0.14290332718090945,7.854547457984424,6.297022989165748,-3.7904212855149897,4.552770501926486,4.2391795147984705
28.32499999999865,0.0396124766452467,-15.326443094051102,0.11799832019730161,-6.309458040963233,-22.52341324204737,5.131673121033373,-3.1970374908426056,-2.461489655832393,-15.76724864082441,-5.241302105797432,10.92979214820518,-18.654011800053723,-26.33487108493197,0,0,0,0,3.048403739929199,0.049963079392910004,0.16070984303951263,3.0,0.0,0.0,-0.2331486268133822,0.8558925889292228,-0.9351648356318468,0.28233437627683927,1.240238330875117,-1.267424766009955,0.6412634127871862,0.019058134304033875,1.4743750889013312,-1.6046056190243672,0.1474541047287309,1.6944195933765736,-1.2632881724280225,-0.4892332188244054,3.8560314586455875,-14.285810954290259,0.22974905619418023,5.900866541782209,-13.878797346815743,-6.326021438441582,0.12470774146232219,7.509370234158536,7.096674939389715,-3.775188783811207,4.414616448231832,3.289128363156688
28.32999999999865,0.23741841139510456,-14.097511273646212,1.7756298871208074,-5.883098686603878,-20.830885306849485,6.018392821877178,-1.9391941838258777,-2.154255761364448,-14.634090176479724,-5.482875125337097,9.921471443589407,-16.849740417698303,-23.09809915687636,0,0,0,0,3.048403739929199,0.049963079392910004,0.16070984303951263,3.0,0.0,0.0,-0.23591632651314376,0.8711470150395435,-1.0062924908683268,0.2824123498251428,1.2640246959300971,-1.334823152820485,0.6085342688250689,0.01892209098275552,1.5070470465577368,-1.570641094557734,0.13206102975695058,1.71094891458624,-1.2554258552556512,-0.5535399399523148,3.050885222064134,-14.225531047296009,0.01559470966070875,4.757273010996016,-13.479677362106019,-6.545828792423478,-0.027208664255671117,6.534391531281122,6.792904893326633,-3.0786149943560663,3.305864241933292,1.572463434474243
28.334999999998647,0.4035583675258554,-12.857530231913032,3.203369857786278,-5.444282857681119,-19.14423089304308,6.745258861840263,-0.7473073228833673,-1.8500318419581867,-13.548213981816577,-5.642400104689523,8.951610979493928,-15.142080589363221,-20.108494415346918,0,0,0,0,3.048403739929199,0.049963079392910004,0.16070984303951263,3.0,0.0,0.0,-0.23891213789205054,0.8825865195157673,-1.0765955545512855,0.2814532288613749,1.2824432644199457,-1.3999672016773677,0.5749259289526231,0.018078229222949393,1.5352421215410288,-1.5382991304024265,0.1198554544049114,1.7224878996580788,-1.25506039142643,-0.5991622757813554,2.287900895244746,-14.06061273659176,-0.1918241927535722,3.683713697969708,-13.028809771376528,-6.7216679744891605,-0.16877235196122525,5.639014996658398,6.468392831061502,-2.4411150704078373,2.3077970143677655,0.07309276584425906
28.339999999998646,0.5362363414283348,-11.617813506521841,4.41969184123203,-5.000369644273397,-17.477650718075804,7.3263751009175735,0.3719427434988294,-1.5540993986175486,-12.514444527639576,-5.7302601947956235,8.02601418215409,-13.531126506554237,-17.34587957726194,0,0,0,0,3.048403739929199,0.049963079392910004,0.16070984303951263,3.0,0.0,0.0,-0.24204390854020394,0.8904361314336456,-1.1456250779786485,0.2795060250992223,1.295857022586939,-1.4626465799875568,0.5406610206811866,0.01658769475880095,1.5593462639860636,-1.5076529051030638,0.11054572889085061,1.7295576407073177,-1.2612166956767745,-0.6263541296306776,1.5699223835756717,-13.8059046854726,-0.389440752430525,2.6827516333986523,-12.535875662037819,-6.852981654287303,-0.2981068928296886,4.8208284890069635,6.1292450598725186,-1.8619451028121579,1.4139482098477871,-1.2312608500689237
28.344999999998645,4.669241080456769,-7.693514612284172,1.778905522845509,-1.4962486476756007,-13.37326486301015,8.021764691637596,3.48244550336579,-1.7680955303000703,-21.751286660968326,-15.413457966596155,11.981820286204933,-20.28640870954452,-17.493019809934797,0,0,0,0,3.0250155925750732,0.014022141695022583,0.01560753583908081,3.0,0.0,0.0,-0.24522944240018832,0.8949361918191507,-1.2129999662155577,0.2766269677608421,1.3046337066264873,-1.5226947623950993,0.5059636446000965,0.01451127167619921,1.5797345877344284,-1.4787491341779004,0.10384424736595918,1.7326716005554106,-1.2729928701943019,-0.6371067719968749,0.9000120771010135,-13.474977647381847,-0.5758114676760333,1.7553368079096532,-12.00963648150849,-6.939475216218021,-0.4152846165203477,4.077664749672949,5.780754185032694,-1.3402963049782877,0.6227919696186078,-2.355234903505471
28.349999999998644,4.263212478727123,-6.799696925537505,3.1767746472932927,-1.4436684067113146,-12.025505047910489,8.329625428225143,4.564603602752344,-1.3910744079379562,-19.608468079371967,-14.057504387043368,10.47703432834686,-17.817232142092838,-14.815962329522657,0,0,0,0,3.0250155925750732,0.014022141695022583,0.01560753583908081,3.0,0.0,0.0,-0.24727223049963326,0.8970684423308104,-1.2797007295548788,0.2737935485224507,1.309722915569357,-1.579935076982404,0.47076103628992566,0.011669882604663189,1.5938816722467803,-1.4547360640825766,0.10107764347866859,1.729792559077259,-1.2903752873411798,-0.4085576198889904,0.4264501023319339,-13.340152667864226,-0.5666838476782836,1.0178417885739495,-11.448062917460954,-7.040521662034163,-0.5682778143072044,2.8294169024703706,4.802614019064752,-0.5533207774581186,-0.5758082956303402,-3.4764834293755653
