frame,time_sec,base_qw,base_qx,base_qy,base_qz,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,qdot8,qdot9,qdot10,qdot11,qdot12,qdot13,
1,0.0,0.97341388463974,-0.007950067520141600,0.22765986621379900,-0.02394263446331020,0.13182461261749300,0.7649822235107420,-1.6383426189422600,-0.1356278359889980,0.7649822235107420,-1.6383426189422600,-1.0987449884414700,-0.1559077650308610,0.20469199120998400,-0.819995641708374,0.15780556201934800,0.20469199120998400,-0.819995641708374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.041666666666666700,0.9869847893714910,-0.005581575911492110,0.15983523428440100,-0.016809621825814200,0.13182461261749300,0.8455679416656490,-2.1200900077819800,-0.1356278359889980,0.8455679416656490,-2.1200900077819800,-0.7852200269699100,-0.1559077650308610,0.6499969363212590,-1.2103605270385700,0.15780556201934800,0.6499969363212590,-1.2103605270385700,0.0,1.9340572357177700,-11.56193733215330,0.0,1.9340572357177700,-11.56193733215330,7.524599075317380,0.0,10.687318682670600,-9.368757247924810,0.0,10.687318682670600,-9.368757247924810,-7.524599075317380
3,0.08333333333333330,0.9961947202682500,-0.0030250325798988300,0.08662550896406170,-0.009110269136726860,0.13182461261749300,0.6802168488502500,-2.180323362350460,-0.1356278359889980,0.6802168488502500,-2.180323362350460,-0.43865010142326400,-0.1559077650308610,1.0356413125991800,-1.3924822807312000,0.15780556201934800,1.0356413125991800,-1.3924822807312000,0.0,-3.96842622756958,-1.4456005096435500,0.0,-3.96842622756958,-1.4456005096435500,8.317678213119510,0.0,9.255465030670170,-4.370922088623050,0.0,9.255465030670170,-4.370922088623050,-8.317678213119510
4,0.125,0.999360978603363,-0.0012406392488628600,0.035527221858501400,-0.0037363420706242300,0.13182461261749300,0.024218101054430000,-1.523367166519170,-0.1356278359889980,0.024218101054430000,-1.523367166519170,-0.19063174724578900,-0.1559077650308610,1.172336459159850,-1.1214529275894200,0.15780556201934800,1.172336459159850,-1.1214529275894200,0.0,-15.743969947099700,15.766948699951200,0.0,-15.743969947099700,15.766948699951200,5.9524405002594,0.0,3.2806835174560500,6.504704475402830,0.0,3.2806835174560500,6.504704475402830,-5.9524405002594
5,0.16666666666666700,0.9999663233757020,-0.00028493429999798500,0.008159439079463480,-0.0008581147994846110,0.13182461261749300,-0.7652198076248170,-0.7047465443611150,-0.1356278359889980,-0.7652198076248170,-0.7047465443611150,-0.04795154556632040,-0.1559077650308610,1.1618037223815900,-0.6512870192527770,0.15780556201934800,1.1618037223815900,-0.6512870192527770,0.0,-18.946509808301900,19.646894931793200,0.0,-18.946509808301900,19.646894931793200,3.4243248403072400,0.0,-0.25278568267822300,11.283981800079300,0.0,-0.25278568267822300,11.283981800079300,-3.4243248403072400
6,0.20833333333333300,1.0,0.0,0.0,0.0,0.13182461261749300,-1.0417671203613300,-0.3713272511959080,-0.1356278359889980,-1.0417671203613300,-0.3713272511959080,0.0,-0.1559077650308610,1.1315841674804700,-0.4114649295806890,0.15780556201934800,1.1315841674804700,-0.4114649295806890,0.0,-6.6371355056762700,8.002063035964970,0.0,-6.6371355056762700,8.002063035964970,1.15083709359169,0.0,-0.7252693176269530,5.755730152130130,0.0,-0.7252693176269530,5.755730152130130,-1.15083709359169
7,0.25,0.9987379312515260,-0.0002040402905549850,0.04936772584915160,-0.00923890620470047,0.13182461261749300,-0.8825230002403260,-0.5572403073310850,-0.1356278359889980,-0.8825230002403260,-0.5572403073310850,-0.1095852479338650,-0.1559077650308610,1.1618037223815900,-0.7854750156402590,0.15780556201934800,1.1618037223815900,-0.7854750156402590,0.0,3.8218588829040500,-4.461913347244260,0.0,3.8218588829040500,-4.461913347244260,-2.6300459504127500,0.0,0.7252693176269530,-8.976242065429690,0.0,0.7252693176269530,-8.976242065429690,2.6300459504127500
8,0.2916666666666670,0.987339198589325,-0.0010110873263329300,0.15608714520931200,-0.02823644131422040,0.13182461261749300,-0.4563910663127900,-0.9580365419387820,-0.1356278359889980,-0.4563910663127900,-0.9580365419387820,-0.37369006872177100,-0.1559077650308610,1.172336459159850,-1.5616331100463900,0.15780556201934800,1.172336459159850,-1.5616331100463900,0.0,10.227166414260900,-9.619109630584720,0.0,10.227166414260900,-9.619109630584720,-6.3385156989097600,0.0,0.25278568267822300,-18.62779426574710,0.0,0.25278568267822300,-18.62779426574710,6.3385156989097600
9,0.3333333333333330,0.9660037755966190,-0.0026872155722230700,0.25485435128212000,-0.04334420710802080,0.13182461261749300,0.0,-1.2977553606033300,-0.1356278359889980,0.0,-1.2977553606033300,-0.7007306814193730,-0.1559077650308610,1.0356413125991800,-1.9955416917800900,0.15780556201934800,1.0356413125991800,-1.9955416917800900,0.0,10.953385591507000,-8.153251647949220,0.0,10.953385591507000,-8.153251647949220,-7.848974704742430,0.0,-3.2806835174560500,-10.413805961608900,0.0,-3.2806835174560500,-10.413805961608900,7.848974704742430
10,0.375,0.9534131288528440,-0.005252907983958720,0.2982301115989690,-0.045107629150152200,0.13182461261749300,0.2967637777328490,-1.3758078813552900,-0.1356278359889980,0.2967637777328490,-1.3758078813552900,-1.003247618675230,-0.1559077650308610,0.6499968767166140,-1.722181797027590,0.15780556201934800,0.6499968767166140,-1.722181797027590,0.0,7.122330665588380,-1.873260498046880,0.0,7.122330665588380,-1.873260498046880,-7.260406494140630,0.0,-9.25546646118164,6.560637474060060,0.0,-9.25546646118164,6.560637474060060,7.260406494140630
