frame,time_sec,base_qw,base_qx,base_qy,base_qz,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,qdot8,qdot9,qdot10,qdot11,qdot12,qdot13
3,0.08333333333333333,0.9961947202682495,-0.0030250325798988342,0.08662550896406174,-0.009110269136726856,0.13182461261749268,0.6802168488502502,-2.180323362350464,-0.1356278359889984,0.6806433200836182,-2.10603928565979,0.43865010142326355,-0.1559077650308609,1.0356413125991821,-1.3924822807312012,0.15780556201934814,0.915108323097229,-1.364955186843872,0.0,-1.9779796600341797,-3.290485382080078,0.0,-2.071779727935791,-2.128864288330078,-8.506987810134888,0.0,8.572528839111328,-4.660051345825195,0.0,7.028383255004883,-4.660042762756348
4,0.125,0.9997893571853638,-0.0012679016217589378,0.020474210381507874,-0.0006810059421695769,0.13182461261749268,0.3863673210144043,-1.7604515552520752,-0.1356278359889984,0.3695846498012543,-1.742551326751709,0.16795961558818817,-0.1559077650308609,1.0790258646011353,-1.169674038887024,0.15780556201934814,0.954759955406189,-1.1279689073562622,0.0,-7.052388668060303,10.07692337036133,0.0,-7.465408086776733,8.723711013793945,-6.496571660041809,0.0,1.041229248046875,5.347397804260254,0.0,0.9516391754150391,5.687670707702637
5,0.16666666666666666,0.9998907446861267,-0.00032881172955967486,-0.014306590892374516,0.0037103474605828524,0.13182461261749268,0.000551327015273273,-1.091530203819275,-0.1356278359889984,-0.04422834515571594,-1.1409889459609985,0.014436272904276848,-0.1559077650308609,0.9514457583427429,-0.8066815733909607,0.15780556201934814,0.8675035238265991,-0.7558495402336121,0.0,-9.259583855979145,16.054112434387207,0.0,-9.931511878967285,14.43749713897705,-3.6845602244138718,0.0,-3.061922550201416,8.711819171905518,0.0,-2.0941543579101562,8.930864810943604
6,0.20833333333333334,1.0,0.0,0.0,0.0,0.13182461261749268,-0.275494247674942,-0.6841753721237183,-0.1356278359889984,-0.3405008912086487,-0.7368475198745728,0.0,-0.1559077650308609,0.860083818435669,-0.6967799067497253,0.15780556201934814,0.7961416840553284,-0.6430373191833496,0.0,-6.625093792565167,9.77651596069336,0.0,-7.110541105270386,9.699394226074219,-0.34647054970264435,0.0,-2.1926865577697754,2.6376399993896484,0.0,-1.712684154510498,2.707493305206299
7,0.25,0.9972646236419678,-0.00015822953719180077,0.07258463650941849,-0.013961303047835827,0.13182461261749268,-0.32860875129699707,-0.7233699560165405,-0.1356278359889984,-0.38393375277519226,-0.7543571591377258,0.14446602761745453,-0.1559077650308609,0.9514457583427429,-1.1015995740890503,0.15780556201934814,0.8675035238265991,-1.0452643632888794,0.0,-1.2747480869293213,-0.9406700134277344,0.0,-1.0423886775970461,-0.42023134231567383,3.4671846628189096,0.0,2.1926865577697754,-9.715672016143799,0.0,1.712684154510498,-9.653449058532717
8,0.2916666666666667,0.9845977425575256,-0.0009793225908651948,0.17197735607624054,-0.03146965429186821,0.13182461261749268,-0.21330943703651428,-1.012099027633667,-0.1356278359889984,-0.23936934769153595,-1.0254861116409302,0.3981856405735016,-0.1559077650308609,1.0790261030197144,-1.7133170366287231,0.15780556201934814,0.9547598958015442,-1.7040839195251465,0.0,2.767183542251587,-6.929497718811037,0.0,3.4695457220077515,-6.507094860076904,6.089270710945129,0.0,3.0619282722473145,-14.681219100952148,0.0,2.0941529273986816,-15.81166934967041
9,0.3333333333333333,0.9660037755966187,-0.0026872155722230673,0.25485435128211975,-0.04334420710802078,0.13182461261749268,0.0,-1.2977553606033325,-0.1356278359889984,-0.0,-1.3088009357452393,0.7007306814193726,-0.1559077650308609,1.0356413125991821,-1.9955416917800903,0.15780556201934814,0.915108323097229,-2.011420488357544,0.0,5.119426488876343,-6.855751991271972,0.0,5.744864344596863,-6.799555778503418,7.261080980300903,0.0,-1.0412349700927734,-6.7733917236328125,0.0,-0.9516377449035647,-7.376077651977539
10,0.375,0.9555906653404236,-0.005272161681205034,0.29139143228530884,-0.04370126128196716,0.13182461261749268,0.24522462487220764,-1.3701096773147583,-0.1356278359889984,0.25305119156837463,-1.4095838069915771,0.9923557043075562,-0.1559077650308609,0.6784524917602539,-1.6689189672470093,0.15780556201934814,0.6222589612007141,-1.652247667312622,0.0,5.885390996932983,-1.7365036010742192,0.0,6.073228597640991,-2.4187889099121094,6.999000549316406,0.0,-8.572531700134277,7.838945388793945,0.0,-7.028384685516357,8.620147705078125
11,0.4166666666666667,0.9568914771080017,-0.007781677879393101,0.2880558967590332,-0.036358434706926346,0.13182461261749268,0.4835001826286316,-1.3224973678588867,-0.1356278359889984,0.4878416657447815,-1.4189605712890625,1.193238377571106,-0.1559077650308609,0.21747468411922455,-1.015466570854187,0.15780556201934814,0.20404250919818878,-0.9825559854507446,0.0,5.718613386154175,1.142695426940918,0.0,5.634971380233765,-0.22504234313964844,4.821184158325195,0.0,-11.063467383384705,15.682857513427734,0.0,-10.037194848060608,16.07260036468506
12,0.4583333333333333,0.9659258127212524,-0.008983182720839977,0.25724443793296814,-0.027053993195295334,0.13182461261749268,0.6802168488502502,-1.3673275709152222,-0.1356278359889984,0.6806433200836182,-1.5086193084716797,1.233121633529663,-0.1559077650308609,0.0,-0.6086240410804749,0.15780556201934814,-0.0,-0.5712970495223999,0.0,4.7211999893188485,-1.0759248733520508,0.0,4.62723970413208,-2.1518096923828125,0.957198143005371,0.0,-5.219392418861389,9.764220714569092,0.0,-4.897020220756531,9.870214462280273
13,0.5,0.977564811706543,-0.00799392256885767,0.2095087170600891,-0.020229222252964973,0.13182461261749268,0.8027663230895996,-1.7165031433105469,-0.1356278359889984,0.8040134906768799,-1.7985304594039917,1.0703376531600952,-0.1559077650308609,0.21747474372386932,-0.7454504370689392,0.15780556201934814,0.20404252409934998,-0.7157657742500305,0.0,2.9411873817443848,-8.380213737487793,0.0,2.9608840942382812,-6.957867622375488,-3.906815528869629,0.0,5.219393849372864,-3.2838335037231445,0.0,4.897020578384399,-3.4672493934631348
14,0.5416666666666666,0.9884157776832581,-0.005598493851721287,0.15092416107654572,-0.014998852275311947,0.13182461261749268,0.8162966370582581,-2.1301467418670654,-0.1356278359889984,0.8196243643760681,-2.0855519771575928,0.7712481021881104,-0.1559077650308609,0.6784526109695435,-1.1498486995697021,0.15780556201934814,0.6222590208053589,-1.1223654747009277,0.0,0.32472753524780273,-9.927446365356445,0.0,0.3746609687805176,-6.888516426086426,-7.178149223327637,0.0,11.06346881389618,-9.70555830001831,0.0,10.037195920944214,-9.758392810821533
15,0.5833333333333334,0.9961947202682495,-0.0030250325798988342,0.08662550896406174,-0.009110269136726856,0.13182461261749268,0.6802168488502502,-2.180323362350464,-0.1356278359889984,0.6806433200836182,-2.10603928565979,0.43865010142326355,-0.1559077650308609,1.0356413125991821,-1.3924822807312012,0.15780556201934814,0.915108323097229,-1.364955186843872,0.0,-3.2659149169921875,-1.2042388916015625,0.0,-3.3355450630187984,-0.4916954040527344,-7.982352018356323,0.0,8.572528839111328,-5.823205947875977,0.0,7.028383255004883,-5.822153091430664
16,0.625,0.9996828436851501,-0.001259557786397636,0.025099288672208786,-0.0016196779906749725,0.13182461261749268,0.36733478307724,-1.733193278312683,-0.1356278359889984,0.35032975673675537,-1.7189775705337524,0.1749245822429657,-0.1559077650308609,1.0790258646011353,-1.1856873035430908,0.15780556201934814,0.954759955406189,-1.1442068815231323,0.0,-7.509169578552246,10.731122016906738,0.0,-7.927525520324709,9.289481163024902,-6.329412460327148,0.0,1.041229248046875,4.963079452514648,0.0,0.9516391754150391,5.297959327697754
17,0.6666666666666666,0.9999225735664368,-0.0003243352402932942,-0.012011157348752022,0.003243591170758009,0.13182461261749268,-0.008677957579493523,-1.080302119255066,-0.1356278359889984,-0.05372687056660652,-1.1296873092651367,0.017859280109405518,-0.1559077650308609,0.9514457583427429,-0.8141173720359802,0.15780556201934814,0.8675035238265991,-0.763003408908844,0.0,-9.024305775761604,15.669387817382812,0.0,-9.697359055280685,14.142966270446777,-3.7695672512054443,0.0,-3.061922550201416,8.917678356170654,0.0,-2.0941543579101562,9.14888334274292
18,0.7083333333333334,1.0,0.0,0.0,0.0,0.13182461261749268,-0.275494247674942,-0.6841753721237183,-0.1356278359889984,-0.3405008912086487,-0.7368475198745728,0.0,-0.1559077650308609,0.860083818435669,-0.6967799067497253,0.15780556201934814,0.7961416840553284,-0.6430373191833496,0.0,-6.403590962290764,9.507041931152346,0.0,-6.882576495409012,9.428154945373535,-0.42862272262573253,0.0,-2.1926865577697754,2.816099166870117,0.0,-1.712684154510498,2.8791861534118652
19,0.75,0.9970840215682983,-0.0001535857591079548,0.07493317127227783,-0.01443902775645256,0.13182461261749268,-0.33688992261886597,-0.7147861123085022,-0.1356278359889984,-0.3925211429595947,-0.7450555562973022,0.14800280332565308,-0.1559077650308609,0.9514457583427429,-1.1099393367767334,0.15780556201934814,0.8675035238265991,-1.0536495447158813,0.0,-1.4734961986541748,-0.7346577644348145,0.0,-1.248486042022705,-0.1969928741455078,3.552067279815674,0.0,2.1926865577697754,-9.915826320648193,0.0,1.712684154510498,-9.854693412780762
20,0.7916666666666666,0.9837417602539062,-0.0009699419024400413,0.1766359657049179,-0.03241772577166557,0.13182461261749268,-0.2305597960948944,-0.9933648705482483,-0.1356278359889984,-0.25698786973953247,-1.005976915359497,0.4053908884525299,-0.1559077650308609,1.0790261030197144,-1.730448842048645,0.15780556201934814,0.9547598958015442,-1.7230448722839355,0.0,2.5519230365753174,-6.685890197753908,0.0,3.252798557281494,-6.262112617492676,6.177314043045044,0.0,3.0619282722473145,-14.892228126525879,0.0,2.0941529273986816,-16.0654878616333
21,0.8333333333333334,0.9660037755966187,-0.0026872155722230673,0.25485435128211975,-0.04334420710802078,0.13182461261749268,0.0,-1.2977553606033325,-0.1356278359889984,-0.0,-1.3088009357452393,0.7007306814193726,-0.1559077650308609,1.0356413125991821,-1.9955416917800903,0.15780556201934814,0.915108323097229,-2.011420488357544,0.0,5.533435106277466,-7.3053717613220215,0.0,6.167708873748779,-7.2677764892578125,7.088155031204224,0.0,-1.0412349700927734,-6.3622283935546875,0.0,-0.9516377449035647,-6.921014785766602
22,0.875,0.9596766829490662,-0.005308778025209904,0.2780555486679077,-0.04096126928925514,0.13182461261749268,0.30167892575263977,-1.430808186531067,-0.1356278359889984,0.3095037341117859,-1.4705498218536377,0.9711704850196838,-0.1559077650308609,0.6784524917602539,-1.616972804069519,0.15780556201934814,0.6222589612007141,-1.598039984703064,0.0,7.2402942180633545,-3.193267822265625,0.0,7.428089618682861,-3.8819732666015625,6.490555286407471,0.0,-8.572531700134277,9.085653305053711,0.0,-7.028384685516357,9.92113208770752
23,0.9166666666666666,0.9628610014915466,-0.0078416233882308,0.2679540812969208,-0.032215666025877,0.13182461261749268,0.5677907466888428,-1.4119938611984253,-0.1356278359889984,0.5716959238052368,-1.5121301412582397,1.1617658138275146,-0.1559077650308609,0.21747468411922455,-0.9424126744270325,0.15780556201934814,0.20404250919818878,-0.9101237654685974,0.0,6.386683702468872,0.45154380798339844,0.0,6.292612552642822,-0.9979276657104492,4.5742878913879395,0.0,-11.063467383384705,16.189443111419678,0.0,-10.037194848060608,16.509989261627197
24,0.9583333333333334,0.9659258127212524,-0.008983182720839977,0.25724443793296814,-0.027053993195295334,0.13182461261749268,0.6802168488502502,-1.3673275709152222,-0.1356278359889984,0.6806433200836182,-1.5086193084716797,1.233121633529663,-0.1559077650308609,0.0,-0.6086240410804749,0.15780556201934814,-0.0,-0.5712970495223999,0.0,2.6982264518737793,1.071990966796875,0.0,2.6147375106811523,0.0842599868774414,1.7125396728515625,0.0,-5.219392418861389,8.010927200317383,0.0,-4.897020220756531,8.13184118270874
