frame,time_sec,base_qw,base_qx,base_qy,base_qz,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,qdot8,qdot9,qdot10,qdot11,qdot12
1,0.0,0.9998123645782470,0.0,-0.019371241331100500,0.0,0.13182461261749300,1.209898591041570,-1.7121964693069500,-0.1356278359889980,1.209898591041570,-1.7121964693069500,-0.1559077650308610,-0.1347888559103010,-0.9520643353462220,0.15780556201934800,-0.1347888559103010,-0.9520643353462220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.041666666666666700,0.9983078241348270,0.0,-0.05815058946609500,0.0,0.13182461261749300,0.9894489645957950,-2.0354342460632300,-0.1356278359889980,0.9894489645957950,-2.0354342460632300,-0.1559077650308610,0.5243858695030210,-1.26223886013031,0.15780556201934800,0.5243858695030210,-1.26223886013031,0.0,-5.290791034698490,-7.757706642150880,0.0,-5.290791034698490,-7.757706642150880,0.0,15.820193409919700,-7.444188594818120,0.0,15.820193409919700,-7.444188594818120
3,0.08333333333333330,0.9961947202682500,0.0,-0.08715575188398360,0.0,0.13182461261749300,0.6802168488502500,-2.180323362350460,-0.1356278359889980,0.6802168488502500,-2.180323362350460,-0.1559077650308610,1.0356413125991800,-1.3924822807312000,0.15780556201934800,1.0356413125991800,-1.3924822807312000,0.0,-7.421570777893070,-3.4773387908935500,0.0,-7.421570777893070,-3.4773387908935500,0.0,12.270130634307900,-3.1258420944213900,0.0,12.270130634307900,-3.1258420944213900
4,0.125,0.9964730739593510,0.0,-0.08391367644071580,0.0,0.13182461261749300,0.3189127743244170,-1.7654260396957400,-0.1356278359889980,0.3189127743244170,-1.7654260396957400,-0.1559077650308610,1.1160699129104600,-1.1508249044418300,0.15780556201934800,1.1160699129104600,-1.1508249044418300,0.0,-8.671297788620000,9.957535743713380,0.0,-8.671297788620000,9.957535743713380,0.0,1.9302864074707000,5.799777030944820,0.0,1.9302864074707000,5.799777030944820
5,0.16666666666666700,0.9986616969108580,0.0,-0.051718637347221400,0.0,0.13182461261749300,-0.030680013820529000,-1.086901307106020,-0.1356278359889980,-0.030680013820529000,-1.086901307106020,-0.1559077650308610,0.9711290597915650,-0.7973484992980960,0.15780556201934800,0.9711290597915650,-0.7973484992980960,0.0,-8.390226915478710,16.28459358215330,0.0,-8.390226915478710,16.28459358215330,0.0,-3.4785804748535200,8.483433723449710,0.0,-3.4785804748535200,8.483433723449710
6,0.20833333333333300,1.0,0.0,0.0,0.0,0.13182461261749300,-0.275494247674942,-0.6841753721237180,-0.1356278359889980,-0.275494247674942,-0.6841753721237180,-0.1559077650308610,0.860083818435669,-0.6967799067497250,0.15780556201934800,0.860083818435669,-0.6967799067497250,0.0,-5.875541612505910,9.665422439575200,0.0,-5.875541612505910,9.665422439575200,0.0,-2.665085792541500,2.4136462211608900,0.0,-2.665085792541500,2.4136462211608900
7,0.25,0.9981935620307920,0.0,0.060080964118242300,0.0,0.13182461261749300,-0.35525527596473700,-0.7178798317909240,-0.1356278359889980,-0.35525527596473700,-0.7178798317909240,-0.1559077650308610,0.9711291193962100,-1.0918824672699000,0.15780556201934800,0.9711291193962100,-1.0918824672699000,0.0,-1.9142646789550800,-0.8089070320129400,0.0,-1.9142646789550800,-0.8089070320129400,0.0,2.6650872230529800,-9.48246145248413,0.0,2.6650872230529800,-9.48246145248413
8,0.2916666666666670,0.9939082264900210,0.0,0.11021073162555700,0.0,0.13182461261749300,-0.268483966588974,-1.0013000965118400,-0.1356278359889980,-0.268483966588974,-1.0013000965118400,-0.1559077650308610,1.116070032119750,-1.6953624486923200,0.15780556201934800,1.116070032119750,-1.6953624486923200,0.0,2.0825114250183100,-6.802086353302000,0.0,2.0825114250183100,-6.802086353302000,0.0,3.4785819053649900,-14.483519554138200,0.0,3.4785819053649900,-14.483519554138200
9,0.3333333333333330,0.9914449453353880,0.0,0.13052621483802800,0.0,0.13182461261749300,0.0,-1.2977553606033300,-0.1356278359889980,0.0,-1.2977553606033300,-0.1559077650308610,1.0356413125991800,-1.9955416917800900,0.15780556201934800,1.0356413125991800,-1.9955416917800900,0.0,6.443615198135380,-7.114926338195800,0.0,6.443615198135380,-7.114926338195800,0.0,-1.9302892684936500,-7.204301834106450,0.0,-1.9302892684936500,-7.204301834106450
10,0.375,0.9941255450248720,0.0,0.1082337498664860,0.0,0.13182461261749300,0.46790724992752100,-1.4199542999267600,-0.1356278359889980,0.46790724992752100,-1.4199542999267600,-0.1559077650308610,0.5243856906890870,-1.7296245098114000,0.15780556201934800,0.5243856906890870,-1.7296245098114000,0.0,11.229773998260500,-2.932774543762210,0.0,11.229773998260500,-2.932774543762210,0.0,-12.270134925842300,6.382012367248530,0.0,-12.270134925842300,6.382012367248530
11,0.4166666666666670,0.9983403086662290,0.0,0.05759032443165780,0.0,0.13182461261749300,0.9817862510681150,-1.4619853496551500,-0.1356278359889980,0.9817862510681150,-1.4619853496551500,-0.1559077650308610,-0.13478893041610700,-1.1587374210357700,0.15780556201934800,-0.13478893041610700,-1.1587374210357700,0.0,12.333096027374300,-1.0087451934814500,0.0,12.333096027374300,-1.0087451934814500,0.0,-15.820190906524700,13.701290130615200,0.0,-15.820190906524700,13.701290130615200
12,0.4583333333333330,1.0,0.0,0.0,0.0,0.13182461261749300,1.2937169075012200,-1.5585014820098900,-0.1356278359889980,1.2937169075012200,-1.5585014820098900,-0.1559077650308610,-0.4297752380371090,-0.7811021208763120,0.15780556201934800,-0.4297752380371090,-0.7811021208763120,0.0,7.486335754394530,-2.316387176513670,0.0,7.486335754394530,-2.316387176513670,0.0,-7.079671382904050,9.063247203826900,0.0,-7.079671382904050,9.063247203826900
13,0.5,0.9989296197891240,0.0,-0.046256303787231400,0.0,0.13182461261749300,1.284714698791500,-1.8074843883514400,-0.1356278359889980,1.284714698791500,-1.8074843883514400,-0.1559077650308610,-0.1347888559103010,-0.8833036422729490,0.15780556201934800,-0.1347888559103010,-0.8833036422729490,0.0,-0.21605300903320300,-5.975589752197270,0.0,-0.21605300903320300,-5.975589752197270,0.0,7.079673171043400,-2.452836513519290,0.0,7.079673171043400,-2.452836513519290
14,0.5416666666666670,0.9971074461936950,0.0,-0.07600517570972440,0.0,0.13182461261749300,1.0418530702590900,-2.111118793487550,-0.1356278359889980,1.0418530702590900,-2.111118793487550,-0.1559077650308610,0.5243858695030210,-1.2137278318405200,0.15780556201934800,0.5243858695030210,-1.2137278318405200,0.0,-5.828679084777830,-7.287225723266600,0.0,-5.828679084777830,-7.287225723266600,0.0,15.820193409919700,-7.930180549621580,0.0,15.820193409919700,-7.930180549621580
15,0.5833333333333330,0.9961947202682500,0.0,-0.08715575188398360,0.0,0.13182461261749300,0.6802168488502500,-2.180323362350460,-0.1356278359889980,0.6802168488502500,-2.180323362350460,-0.1559077650308610,1.0356413125991800,-1.3924822807312000,0.15780556201934800,1.0356413125991800,-1.3924822807312000,0.0,-8.679269313812260,-1.660909652709960,0.0,-8.679269313812260,-1.660909652709960,0.0,12.270130634307900,-4.290106773376470,0.0,12.270130634307900,-4.290106773376470
16,0.625,0.996954619884491,0.0,-0.07798396795988080,0.0,0.13182461261749300,0.30010396242141700,-1.7371571063995400,-0.1356278359889980,0.30010396242141700,-1.7371571063995400,-0.1559077650308610,1.1160699129104600,-1.16682767868042,0.15780556201934800,1.1160699129104600,-1.16682767868042,0.0,-9.122709274291990,10.635990142822300,0.0,-9.122709274291990,10.635990142822300,0.0,1.9302864074707000,5.41571044921875,0.0,1.9302864074707000,5.41571044921875
