frame,time_sec,base_qw,base_qx,base_qy,base_qz,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,qdot8,qdot9,qdot10,qdot11,qdot12,qdot13
3,0.08333333333333330,0.9961947202682500,-0.0030250325798988300,0.08662550896406170,-0.009110269136726860,0.23964454233646400,-1.198085904121400,2.1394457817077600,-0.21417352557182300,-1.198085904121400,2.1394457817077600,0.43865010142326400,-0.1559077650308610,1.0356413125991800,-1.3924822807312000,0.15780556201934800,1.0356413125991800,-1.3924822807312000,0.6706037521362310,-6.711572170257570,8.947543144226070,-0.49072909355163600,-6.711572170257570,8.947543144226070,-8.317678213119510,0.0,9.255465030670170,-4.436285018920900,0.0,9.255465030670170,-4.436285018920900
4,0.125,0.999360978603363,-0.0012406392488628600,0.035527221858501400,-0.0037363420706242300,0.21170271933078800,-1.1918994188308700,1.6630109548568700,-0.19372645020484900,-1.1918994188308700,1.6630109548568700,0.19063174724578900,-0.1559077650308610,1.172336459159850,-1.128145694732670,0.15780556201934800,1.172336459159850,-1.128145694732670,-0.6706037521362310,0.14847564697265600,-11.434435844421400,0.49072980880737300,0.14847564697265600,-11.434435844421400,-5.9524405002594,0.0,3.2806835174560500,6.344078063964840,0.0,3.2806835174560500,6.344078063964840
5,0.16666666666666700,0.9999663233757020,-0.00028493429999798500,0.008159439079463480,-0.0008581147994846110,0.15977902710437800,-1.1773728132247900,0.8014976382255550,-0.1559007167816160,-1.1773728132247900,0.8014976382255550,0.04795154556632040,-0.1559077650308610,1.1618037223815900,-0.6698334217071530,0.15780556201934800,1.1618037223815900,-0.6698334217071530,-1.246168613433840,0.34863853454589800,-20.67631959915160,0.9078176021575930,0.34863853454589800,-20.67631959915160,-3.4243248403072400,0.0,-0.25278568267822300,10.999494552612300,0.0,-0.25278568267822300,10.999494552612300
6,0.20833333333333300,1.0,0.0,0.0,0.0,0.13182461261749300,-1.0417671203613300,0.4016689956188200,-0.1356278359889980,-1.0417671203613300,0.4016689956188200,0.0,-0.1559077650308610,1.1315841674804700,-0.4350505471229550,0.15780556201934800,1.1315841674804700,-0.4350505471229550,-0.6709059476852420,3.2545366287231400,-9.595887422561650,0.4865491390228270,3.2545366287231400,-9.595887422561650,-1.15083709359169,0.0,-0.7252693176269530,5.634788990020750,0.0,-0.7252693176269530,5.634788990020750
7,0.25,0.9987379312515260,-0.0002040402905549850,0.04936772584915160,-0.00923890620470047,0.1335357129573820,-0.9541860222816470,0.5395473837852480,-0.13686691224575000,-0.9541860222816470,0.5395473837852480,0.1095852479338650,-0.1559077650308610,1.1618037223815900,-0.8049914836883550,0.15780556201934800,1.1618037223815900,-0.8049914836883550,0.04106640815734860,2.101946353912350,3.3090813159942600,-0.02973783016204830,2.101946353912350,3.3090813159942600,2.6300459504127500,0.0,0.7252693176269530,-8.87858247756958,0.0,0.7252693176269530,-8.87858247756958
8,0.2916666666666670,0.987339198589325,-0.0010110873263329300,0.15608714520931200,-0.02823644131422040,0.1352468729019170,-0.8987160921096800,0.8172647953033450,-0.13810625672340400,-0.8987160921096800,0.8172647953033450,0.37369006872177100,-0.1559077650308610,1.172336459159850,-1.5665103197097800,0.15780556201934800,1.172336459159850,-1.5665103197097800,0.04106783866882320,1.3312783241272000,6.665217876434330,-0.029744267463684100,1.3312783241272000,6.665217876434330,6.3385156989097600,0.0,0.25278568267822300,-18.27645206451420,0.0,0.25278568267822300,-18.27645206451420
9,0.3333333333333330,0.9660037755966190,-0.0026872155722230700,0.25485435128212000,-0.04334420710802080,0.13182461261749300,-0.768433690071106,0.9695726633071900,-0.1356278359889980,-0.768433690071106,0.9695726633071900,0.7007306814193730,-0.1559077650308610,1.0356413125991800,-1.9955416917800900,0.15780556201934800,1.0356413125991800,-1.9955416917800900,-0.08213424682617190,3.1267776489257800,3.655388832092290,0.05948209762573240,3.1267776489257800,3.655388832092290,7.848974704742430,0.0,-3.2806835174560500,-10.2967529296875,0.0,-3.2806835174560500,-10.2967529296875
10,0.375,0.9534131288528440,-0.005252907983958720,0.2982301115989690,-0.045107629150152200,0.12155956774950000,-0.44596946239471400,0.7866453528404240,-0.12819954752922100,-0.44596946239471400,0.7866453528404240,1.003247618675230,-0.1559077650308610,0.6499968767166140,-1.7210421562194800,0.15780556201934800,0.6499968767166140,-1.7210421562194800,-0.24636107683181800,7.739141464233400,-4.3902554512023900,0.17827892303466800,7.739141464233400,-4.3902554512023900,7.260406494140630,0.0,-9.25546646118164,6.58798885345459,0.0,-9.25546646118164,6.58798885345459
11,0.4166666666666670,0.9551777839660650,-0.007764617446810010,0.29354673624038700,-0.03749186918139460,0.11642815917730300,-0.09115812927484510,0.5555097460746770,-0.12448948621749900,-0.09115812927484510,0.5555097460746770,1.201844334602360,-0.1559077650308610,0.20469199120998400,-1.0463004112243700,0.15780556201934800,0.20469199120998400,-1.0463004112243700,-0.12315380573272700,8.515471994876860,-5.54725456237793,0.08904147148132320,8.515471994876860,-5.54725456237793,4.766321182250980,0.0,-10.687317252159100,16.193801879882800,0.0,-10.687317252159100,16.193801879882800
12,0.4583333333333330,0.9659258127212520,-0.008983182720839980,0.25724443793296800,-0.027053993195295300,0.13182461261749300,0.0,0.6036058068275450,-0.1356278359889980,0.0,0.6036058068275450,1.233121633529660,-0.1559077650308610,0.0,-0.6019919514656070,0.15780556201934800,0.0,-0.6019919514656070,0.3695148825645450,2.187795102596280,1.1543054580688500,-0.2673203945159910,2.187795102596280,1.1543054580688500,0.7506551742553710,0.0,-4.912607789039610,10.663403034210200,0.0,-4.912607789039610,10.663403034210200
13,0.5,0.978792130947113,-0.008007061667740350,0.20380966365337400,-0.019064968451857600,0.17518603801727300,-0.36691007018089300,1.1644469499588000,-0.16710145771503400,-0.36691007018089300,1.1644469499588000,1.0614110231399500,-0.1559077650308610,0.20469199120998400,-0.737371027469635,0.15780556201934800,0.20469199120998400,-0.737371027469635,1.0406742095947300,-8.80584168434143,13.460187435150100,-0.7553669214248660,-8.80584168434143,13.460187435150100,-4.121054649353030,0.0,4.912607789039610,-3.2490978240966800,0.0,4.912607789039610,-3.2490978240966800
14,0.5416666666666670,0.989509642124176,-0.005611799191683530,0.1437220424413680,-0.013536330312490500,0.22196945548057600,-0.9701328873634340,1.879746437072750,-0.20123188197612800,-0.9701328873634340,1.879746437072750,0.7599520087242130,-0.1559077650308610,0.6499969363212590,-1.151985764503480,0.15780556201934800,0.6499969363212590,-1.151985764503480,1.1228020191192600,-14.477347612381000,17.167187690734900,-0.8191301822662350,-14.477347612381000,17.167187690734900,-7.235016345977790,0.0,10.687318682670600,-9.950753688812260,0.0,10.687318682670600,-9.950753688812260
15,0.5833333333333330,0.9961947202682500,-0.0030250325798988300,0.08662550896406170,-0.009110269136726860,0.23964454233646400,-1.198085904121400,2.1394457817077600,-0.21417352557182300,-1.198085904121400,2.1394457817077600,0.43865010142326400,-0.1559077650308610,1.0356413125991800,-1.3924822807312000,0.15780556201934800,1.0356413125991800,-1.3924822807312000,0.42420208454132100,-5.470872402191160,6.232784271240230,-0.3105994462966920,-5.470872402191160,6.232784271240230,-7.711245775222780,0.0,9.255465030670170,-5.771916389465330,0.0,9.255465030670170,-5.771916389465330
16,0.625,0.999151349067688,-0.0012308527948334800,0.04088982939720150,-0.004824998788535600,0.20827996730804400,-1.1910762786865200,1.623680591583250,-0.19122621417045600,-1.1910762786865200,1.623680591583250,0.19871209561824800,-0.1559077650308610,1.172336459159850,-1.1469297409057600,0.15780556201934800,1.172336459159850,-1.1469297409057600,-0.7527498006820680,0.16823101043701200,-12.378364562988300,0.5507354736328130,0.16823101043701200,-12.378364562988300,-5.7585121393203700,0.0,3.2806835174560500,5.893260955810550,0.0,3.2806835174560500,5.893260955810550
17,0.6666666666666670,0.9999403953552250,-0.00027970370138064000,0.010832136496901500,-0.0014016353525221300,0.1580672562122350,-1.1729564666748000,0.7829635143280030,-0.1546574831008910,-1.1729564666748000,0.7829635143280030,0.051941461861133600,-0.1559077650308610,1.1618037223815900,-0.67835533618927,0.15780556201934800,1.1618037223815900,-0.67835533618927,-1.2051050662994400,0.43487548828125,-20.177209854126000,0.8776495456695560,0.43487548828125,-20.177209854126000,-3.522495210170750,0.0,-0.25278568267822300,11.2457857131958,0.0,-0.25278568267822300,11.2457857131958
18,0.7083333333333330,1.0,0.0,0.0,0.0,0.13182461261749300,-1.0417671203613300,0.4016689956188200,-0.1356278359889980,-1.0417671203613300,0.4016689956188200,0.0,-0.1559077650308610,1.1315841674804700,-0.4350505471229550,0.15780556201934800,1.1315841674804700,-0.4350505471229550,-0.6298234462738040,3.1485443115234400,-9.151068449020390,0.45671153068542500,3.1485443115234400,-9.151068449020390,-1.2465950846672100,0.0,-0.7252693176269530,5.839314937591550,0.0,-0.7252693176269530,5.839314937591550
19,0.75,0.9985954761505130,-0.00019871776748914300,0.05206962674856190,-0.009788458235561850,0.13182461261749300,-0.9469196200370790,0.5231454968452450,-0.1356278359889980,-0.9469196200370790,0.5231454968452450,0.1136375442147260,-0.1559077650308610,1.1618037223815900,-0.8141356706619260,0.15780556201934800,1.1618037223815900,-0.8141356706619260,0.0,2.2763400077819800,2.915436029434200,0.0,2.2763400077819800,2.915436029434200,2.727301061153410,0.0,0.7252693176269530,-9.098042964935300,0.0,0.7252693176269530,-9.098042964935300
20,0.7916666666666670,0.9864392876625060,-0.0010003455681726300,0.16148091852664900,-0.029333822429180100,0.13182461261749300,-0.8844664692878720,0.7825183868408200,-0.1356278359889980,-0.8844664692878720,0.7825183868408200,0.381991446018219,-0.1559077650308610,1.172336459159850,-1.5867533683776900,0.15780556201934800,1.172336459159850,-1.5867533683776900,0.0,1.498875617980960,6.224949359893800,0.0,1.498875617980960,6.224949359893800,6.440493643283840,0.0,0.25278568267822300,-18.542824745178200,0.0,0.25278568267822300,-18.542824745178200
