frame,time_sec,base_qw,base_qx,base_qy,base_qz,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,qdot8,qdot9,qdot10,qdot11,qdot12
3,0.08333333333333333,0.9961947202682495,0.0,-0.08715575188398361,0.0,0.13182461261749268,0.6802168488502502,-2.180323362350464,-0.1356278359889984,0.6806433200836182,-2.10603928565979,-0.1559077650308609,1.0356413125991821,-1.3924822807312012,0.15780556201934814,0.915108323097229,-1.364955186843872,0.0,-7.421570777893066,-3.4773387908935547,0.0,-7.568524360656738,-2.3498611450195317,0.0,12.270130634307861,-3.1258420944213867,0.0,10.593030452728271,-2.871760368347168
4,0.125,0.9964730739593506,0.0,-0.08391367644071579,0.0,0.13182461261749268,0.3189127743244171,-1.7654260396957397,-0.1356278359889984,0.3032747507095337,-1.750630259513855,-0.1559077650308609,1.1160699129104614,-1.1508249044418335,0.15780556201934814,0.9855505228042603,-1.1061514616012573,0.0,-8.671297788619995,9.957535743713379,0.0,-9.056845664978027,8.529816627502441,0.0,1.9302864074707031,5.799777030944824,0.0,1.69061279296875,6.211289405822754
5,0.16666666666666666,0.9986616969108582,0.0,-0.051718637347221375,0.0,0.13182461261749268,-0.030680013820528984,-1.086901307106018,-0.1356278359889984,-0.07390733808279037,-1.1428934335708618,-0.1559077650308609,0.9711290597915649,-0.7973484992980957,0.15780556201934814,0.8853642344474792,-0.7456470131874084,0.0,-8.390226915478706,16.28459358215332,0.0,-9.052370131015778,14.585683822631836,0.0,-3.4785804748535165,8.483433723449707,0.0,-2.4044709205627446,8.652106761932373
6,0.20833333333333334,1.0,0.0,0.0,0.0,0.13182461261749268,-0.275494247674942,-0.6841753721237183,-0.1356278359889984,-0.3405008912086487,-0.7368475198745728,-0.1559077650308609,0.860083818435669,-0.6967799067497253,0.15780556201934814,0.7961416840553284,-0.6430373191833496,0.0,-5.875541612505913,9.665422439575195,0.0,-6.398245275020599,9.745101928710938,0.0,-2.665085792541504,2.4136462211608887,0.0,-2.141341209411621,2.462632656097412
7,0.25,0.9981935620307922,0.0,0.060080964118242264,0.0,0.13182461261749268,-0.35525527596473694,-0.7178798317909241,-0.1356278359889984,-0.4089514911174774,-0.7549514174461365,-0.1559077650308609,0.9711291193962097,-1.0918824672698975,0.15780556201934814,0.8853642344474792,-1.033877968788147,0.0,-1.9142646789550781,-0.8089070320129395,0.0,-1.6428143978118896,-0.4344935417175293,0.0,2.6650872230529785,-9.48246145248413,0.0,2.141341209411621,-9.380175590515137
8,0.2916666666666667,0.9939082264900208,0.0,0.11021073162555695,0.0,0.13182461261749268,-0.268483966588974,-1.0013000965118408,-0.1356278359889984,-0.2926264703273773,-1.0250799655914307,-0.1559077650308609,1.116070032119751,-1.6953624486923218,0.15780556201934814,0.9855505228042603,-1.6792069673538208,0.0,2.0825114250183105,-6.802086353302002,0.0,2.791800498962403,-6.4830851554870605,0.0,3.4785819053649902,-14.483519554138184,0.0,2.4044709205627446,-15.487895965576172
9,0.3333333333333333,0.9914449453353882,0.0,0.13052621483802795,0.0,0.13182461261749268,0.0,-1.2977553606033325,-0.1356278359889984,-0.0,-1.3088009357452393,-0.1559077650308609,1.0356413125991821,-1.9955416917800903,0.15780556201934814,0.915108323097229,-2.011420488357544,0.0,6.443615198135376,-7.114926338195801,0.0,7.023035287857056,-6.809303283691406,0.0,-1.9302892684936523,-7.204301834106445,0.0,-1.69061279296875,-7.973124504089357
10,0.375,0.9941255450248718,0.0,0.1082337498664856,0.0,0.13182461261749268,0.46790724992752075,-1.4199542999267578,-0.1356278359889984,0.47272631525993347,-1.4259716272354126,-0.1559077650308609,0.5243856906890869,-1.7296245098114014,0.15780556201934814,0.4737318754196167,-1.7301242351531982,0.0,11.229773998260498,-2.932774543762207,0.0,11.345431566238403,-2.8120965957641606,0.0,-12.270134925842285,6.382012367248534,0.0,-10.593034744262695,6.751110076904297
11,0.4166666666666667,0.9983403086662292,0.0,0.05759032443165779,0.0,0.13182461261749268,0.9817862510681152,-1.4619853496551514,-0.1356278359889984,0.9687057137489319,-1.4591740369796753,-0.1559077650308609,-0.13478893041610718,-1.1587374210357666,0.15780556201934814,-0.14711016416549683,-1.1523953676223755,0.0,12.333096027374268,-1.0087451934814453,0.0,11.903505563735962,-0.7968578338623047,0.0,-15.820190906524658,13.701290130615234,0.0,-14.900208950042725,13.865492820739746
12,0.4583333333333333,1.0,0.0,0.0,0.0,0.13182461261749268,1.2937169075012207,-1.5585014820098877,-0.1356278359889984,1.2527438402175903,-1.5555046796798706,-0.1559077650308609,-0.4297752380371094,-0.7811021208763123,0.15780556201934814,-0.43149465322494507,-0.7804697751998901,0.0,7.486335754394531,-2.316387176513672,0.0,6.816915035247803,-2.3119354248046875,0.0,-7.079671382904053,9.063247203826904,0.0,-6.825227737426758,8.92621421813965
